Instance,Cost_Best,Cost_Worst,Cost_Avg,Time_Best_ms,Time_Worst_ms,Time_Avg_ms,Improvement_Best_%,Improvement_Worst_%,Improvement_Avg_%
ER-110.stp,336.0,341.0,338.9,610535.09,628025.003,618216.21,9.84,5.54,7.49
ER-111.stp,254.0,258.0,257.0,652924.855,665325.882,658554.883,11.11,8.87,10.32
ER-112.stp,233.0,237.0,234.8,652097.245,688751.377,664696.542,12.64,6.69,10.39
ER-113.stp,210.0,217.0,213.8,742031.914,764326.421,754197.954,16.47,9.28,12.99
ER-114.stp,185.0,188.0,186.5,835617.16,878002.709,864114.05,14.29,8.33,12.16
ER-115.stp,181.0,185.0,183.3,852174.368,892283.757,870032.524,12.02,6.63,8.78
ER-116.stp,176.0,179.0,178.1,835210.387,868855.574,853370.073,16.59,8.21,12.55
ER-117.stp,178.0,182.0,179.9,749798.723,768733.729,762487.986,13.81,8.59,10.91
ER-118.stp,517.0,524.0,520.8,523171.587,541020.224,533970.934,9.93,2.43,6.76
ER-119.stp,336.0,339.0,337.1,802430.359,835389.18,814745.039,13.37,5.85,9.76
ER-120.stp,274.0,278.0,276.2,857076.645,876635.255,865587.877,12.66,5.8,9.31
ER-121.stp,243.0,249.0,245.8,829548.469,866170.561,848316.563,17.63,9.16,11.62
ER-122.stp,215.0,218.0,216.3,914939.381,984665.575,932597.722,12.24,8.02,9.82
ER-123.stp,197.0,201.0,199.0,967828.125,1006817.625,985662.442,18.85,10.76,14.06
ER-124.stp,183.0,187.0,184.5,993808.139,1037685.479,1018608.961,15.21,9.41,13.07
ER-125.stp,197.0,201.0,199.0,1041004.755,1071100.087,1053888.112,14.59,8.33,12.3
ER-126.stp,186.0,189.0,188.0,1046690.757,1083605.106,1058179.498,15.62,10.53,12.89
ER-127.stp,575.0,580.0,577.7,652693.575,667829.527,658959.462,9.95,5.73,8.24
ER-128.stp,371.0,374.0,372.9,982034.055,1021552.484,999670.877,11.67,6.97,9.6
ER-129.stp,284.0,288.0,285.8,1080742.206,1131116.674,1108795.85,15.63,7.44,11.72
ER-130.stp,237.0,241.0,238.8,1157673.519,1198941.263,1170257.122,16.43,9.77,12.77
ER-131.stp,212.0,215.0,213.2,1193300.586,1317958.952,1277244.952,15.81,10.5,13.44
ER-132.stp,210.0,214.0,212.7,1189788.128,1258390.401,1226289.104,16.8,10.08,12.92
ER-133.stp,200.0,205.0,202.8,1232374.728,1294100.121,1262098.587,15.77,5.56,12.11
ER-134.stp,198.0,203.0,200.7,1262012.949,1298113.917,1283837.98,17.96,8.56,12.13
ER-135.stp,192.0,197.0,195.2,1337824.315,1383538.117,1356498.625,15.42,7.55,11.36
ER-136.stp,547.0,551.0,549.1,917213.805,969665.794,936574.617,10.77,5.97,8.08
ER-137.stp,358.0,361.0,359.8,1148446.176,1175345.454,1166229.839,10.47,4.76,7.95
ER-138.stp,297.0,300.0,298.8,1265652.329,1318410.401,1307051.041,14.57,9.12,10.99
ER-139.stp,256.0,259.0,257.6,1429958.728,1469254.041,1446627.096,13.71,6.86,11.22
ER-140.stp,237.0,242.0,239.3,1418463.088,1464602.37,1433356.305,14.13,7.63,11.33
ER-141.stp,224.0,228.0,226.2,1565240.196,1737034.666,1651691.666,14.12,9.92,12.75
ER-142.stp,213.0,216.0,214.3,1566965.867,1659528.801,1615906.949,17.12,10.83,13.51
ER-143.stp,215.0,221.0,218.5,1359322.889,1398636.231,1379909.963,12.7,8.79,10.58
ER-144.stp,198.0,202.0,200.4,1670658.389,1775743.602,1724828.15,14.22,9.95,11.93
ER-145.stp,559.0,564.0,562.0,1075308.019,1138292.686,1102886.808,9.47,5.86,7.69
ER-146.stp,376.0,379.0,377.3,1275486.484,1342768.2,1298635.109,12.53,6.9,10.37
ER-147.stp,294.0,301.0,298.1,1676651.05,1744561.576,1727505.477,13.62,7.17,10.23
ER-148.stp,263.0,267.0,265.7,1865318.605,1923090.204,1892821.478,15.71,10.7,13.0
ER-149.stp,250.0,254.0,252.6,1881432.862,1947595.318,1915303.386,17.65,10.88,14.04
ER-150.stp,229.0,233.0,231.2,1910715.814,1947504.627,1925704.36,19.79,11.2,14.16
ER-151.stp,213.0,218.0,216.5,1841912.46,2004389.422,1896509.644,17.8,11.62,14.66
ER-152.stp,221.0,229.0,225.8,1874527.07,1929785.052,1905481.568,14.34,8.06,11.73
ER-153.stp,214.0,219.0,216.4,1836109.704,1880652.806,1859122.586,11.84,8.75,10.61
ER-154.stp,566.0,572.0,569.4,1188058.819,1244831.93,1224138.579,10.0,5.64,7.84
ER-155.stp,387.0,392.0,389.0,1824113.37,1922200.689,1854115.504,16.92,5.81,10.99
ER-156.stp,290.0,294.0,292.8,1810482.154,1910106.944,1869356.382,13.31,8.98,11.22
ER-157.stp,286.0,292.0,289.2,2168036.054,2230453.732,2200537.117,14.88,7.01,10.56
ER-158.stp,261.0,266.0,263.4,2399576.399,2469859.824,2435667.167,14.38,11.41,13.11
ER-159.stp,241.0,244.0,242.6,2022171.818,2090521.597,2052259.377,13.83,9.4,11.56
ER-160.stp,233.0,236.0,234.5,2444295.848,2636518.943,2558751.355,14.34,10.65,12.78
ER-161.stp,223.0,229.0,226.8,2068988.858,2118778.532,2094277.319,13.58,8.8,11.53
ER-162.stp,226.0,229.0,227.6,2351001.505,2399033.79,2379169.828,14.39,9.88,12.0
ER-163.stp,598.0,604.0,601.4,1542281.855,1590006.744,1565798.031,10.93,4.43,7.76
ER-164.stp,383.0,386.0,384.6,2049431.07,2111504.605,2080293.333,12.53,8.13,10.05
ER-165.stp,331.0,337.0,334.3,2271737.477,2404886.43,2344071.635,12.57,6.69,9.47
ER-166.stp,283.0,287.0,285.5,2392037.627,2457107.962,2425533.333,18.34,10.34,13.72
ER-167.stp,270.0,273.0,271.6,2475661.798,2542370.664,2509832.4,14.51,8.42,11.95
ER-168.stp,257.0,269.0,265.3,2490283.548,2547713.117,2522399.856,17.63,10.4,12.78
ER-169.stp,236.0,239.0,237.1,2733939.577,2809308.079,2774940.642,17.77,10.57,13.46
ER-170.stp,239.0,246.0,242.7,2719368.553,2782576.238,2748173.703,14.34,7.95,10.65
ER-171.stp,235.0,241.0,238.0,2408473.507,2513213.753,2467392.167,11.24,6.59,9.66
ER-172.stp,567.0,571.0,569.4,1856588.323,1936513.626,1900829.871,11.27,6.24,8.61
ER-173.stp,401.0,404.0,402.4,2096817.326,2167306.996,2129706.212,11.09,5.19,8.85
