Instance,Cost_Best,Cost_Worst,Cost_Avg,Time_Best_ms,Time_Worst_ms,Time_Avg_ms,Improvement_Best_%,Improvement_Worst_%,Improvement_Avg_%,Runs_Completed
es60fst01.stp,53987947.0,54278239.0,54152082.2,7987.824,8714.268,8248.408,5.32,1.49,3.05,10
es60fst02.stp,55770102.0,56298255.0,56159704.1,13122.69,14257.41,13715.202,6.55,1.09,3.67,10
es60fst03.stp,56672299.0,57198893.0,56957876.0,8362.396,8954.358,8588.253,6.06,0.68,3.37,10
es60fst04.stp,55522652.0,56095308.0,55809088.2,11611.057,12494.771,12099.386,9.25,1.88,4.6,10
es60fst05.stp,54836983.0,55143392.0,54993989.5556,8771.549,9154.366,8952.488,4.98,0.46,2.81,9
es60fst06.stp,60799437.0,61021873.0,60925877.1,7457.088,8467.273,7901.895,4.08,0.66,2.12,10
es60fst07.stp,59854353.0,60561400.0,60253892.5,12438.955,13501.949,12957.958,5.07,1.83,3.69,10
es60fst08.stp,58138178.0,58249706.0,58153546.2,6152.949,6706.304,6395.993,5.58,1.23,2.43,10
es60fst09.stp,55225694.0,55668349.0,55541566.8,13585.055,15109.036,14263.768,3.55,1.0,2.65,10
es60fst10.stp,58014968.0,58272189.0,58138555.3,10345.322,11244.565,10690.7,4.41,0.97,2.47,10
es60fst11.stp,55122432.0,55340581.0,55220444.3,6573.937,7118.517,6798.2,4.75,0.2,2.41,10
es60fst12.stp,60100043.0,60626753.0,60418735.0,15748.556,17467.943,16628.439,7.61,1.47,3.61,10
es60fst13.stp,62016850.0,62622667.0,62392211.2,16617.987,19475.232,18506.742,8.86,3.09,6.27,10
es60fst14.stp,56217047.0,56266018.0,56244944.3,6732.566,7194.444,6901.079,3.29,0.74,1.78,10
es60fst15.stp,56871625.0,57264682.0,57093384.8,7174.002,7810.466,7562.69,3.6,1.04,2.19,10
es70fst01.stp,61657725.0,62043871.0,61834862.5,11092.593,11662.688,11420.043,6.38,1.63,3.02,10
es70fst02.stp,61143624.0,61974816.0,61635397.0,16199.136,16965.35,16550.596,8.24,3.1,5.62,10
es70fst03.stp,62696625.0,63422024.0,63123303.3,24650.761,27197.833,25442.56,5.49,2.66,4.0,10
es70fst04.stp,62161523.0,62801171.0,62548008.7,13672.373,14964.284,14213.008,4.09,1.09,2.45,10
es70fst05.stp,61747473.0,62480814.0,62232737.2,18450.469,20749.854,19222.336,7.94,3.4,5.63,10
es70fst06.stp,63091254.0,63996817.0,63581130.1,19920.19,21970.343,21037.824,5.24,1.07,3.24,10
