Instance,Cost_Best,Cost_Worst,Cost_Avg,Time_Best_ms,Time_Worst_ms,Time_Avg_ms,Improvement_Best_%,Improvement_Worst_%,Improvement_Avg_%
ER-002.stp,140.0,140.0,140.0,172.019,180.337,177.342,0.0,0.0,0.0
ER-003.stp,116.0,116.0,116.0,641.228,670.609,653.102,9.38,1.69,4.25
ER-004.stp,64.0,64.0,64.0,201.415,206.548,203.756,0.0,0.0,0.0
ER-005.stp,117.0,117.0,117.0,514.837,520.888,517.125,0.0,0.0,0.0
ER-006.stp,76.0,76.0,76.0,562.704,570.037,565.421,0.0,0.0,0.0
ER-007.stp,46.0,46.0,46.0,424.856,427.394,425.81,0.0,0.0,0.0
ER-008.stp,67.0,67.0,67.0,1668.123,1734.28,1702.235,10.67,6.94,9.92
ER-009.stp,38.0,38.0,38.0,448.279,452.338,449.9,0.0,0.0,0.0
ER-010.stp,323.0,323.0,323.0,1141.358,1193.374,1164.609,3.0,0.0,0.6
ER-011.stp,243.0,246.0,244.4,3943.339,4583.189,4205.554,11.31,1.99,8.71
ER-012.stp,166.0,167.0,166.3,5164.903,5805.777,5411.782,13.54,2.35,7.73
ER-013.stp,132.0,132.0,132.0,2987.258,3250.977,3080.663,10.81,5.04,8.54
ER-014.stp,91.0,91.0,91.0,4121.088,4568.542,4287.024,8.08,1.09,4.77
ER-015.stp,88.0,88.0,88.0,4109.717,4454.536,4263.76,8.33,2.22,4.63
ER-016.stp,80.0,80.0,80.0,3737.543,3977.451,3872.957,4.76,0.0,3.35
ER-017.stp,71.0,72.0,71.7,4647.439,5002.085,4839.241,6.58,2.7,4.52
ER-018.stp,54.0,54.0,54.0,4407.895,4842.082,4627.886,12.9,8.47,9.68
ER-019.stp,400.0,403.0,400.8,5339.407,5755.114,5591.874,14.35,2.67,7.25
ER-020.stp,232.0,232.0,232.0,9481.01,10388.737,10072.773,9.38,1.28,4.47
ER-021.stp,121.0,122.0,121.8,10837.464,12176.64,11367.966,8.96,4.69,6.93
ER-022.stp,105.0,105.0,105.0,11033.944,11902.426,11515.438,10.26,0.94,5.04
